blocknum,parttime_2007,parttime_2012,parttime_2017,parttime_2022,parttimejob_growth_2007_2022_pct,suburb
563,83,52,53,53,-36.1%,"Darlinghurst and Surry Hill"
564,110,110,334,334,203.6%,"Darlinghurst and Surry Hill"
565,9,70,118,118,1211.1%,"Darlinghurst and Surry Hill"
566,18,18,22,33,83.3%,"Darlinghurst and Surry Hill"
567,27,50,52,52,92.6%,"Darlinghurst and Surry Hill"
568,4,23,84,84,2000.0%,"Darlinghurst and Surry Hill"
569,4,15,12,12,200.0%,"Darlinghurst and Surry Hill"
570,46,116,54,54,17.4%,"Darlinghurst and Surry Hill"
571,1,10,20,20,0.0%,"Darlinghurst and Surry Hill"
572,0,7,32,32,0.0%,"Darlinghurst and Surry Hill"
573,3,16,16,16,433.3%,"Darlinghurst and Surry Hill"
574,17,22,33,33,94.1%,"Darlinghurst and Surry Hill"
575,7,15,79,79,1028.6%,"Darlinghurst and Surry Hill"
576,5,11,16,7,40.0%,"Darlinghurst and Surry Hill"
577,30,54,84,84,180.0%,"Darlinghurst and Surry Hill"
578,11,25,18,18,63.6%,"Darlinghurst and Surry Hill"
579,44,82,56,56,27.3%,"Darlinghurst and Surry Hill"
580,0,0,0,0,0.0%,"Darlinghurst and Surry Hill"
581,2,2,2,1,-50.0%,"Darlinghurst and Surry Hill"
582,13,13,36,36,176.9%,"Darlinghurst and Surry Hill"
583,0,22,5,5,0.0%,"Darlinghurst and Surry Hill"
