Num,BLOCKNUM,Total_FullTime_Jobs,Total_PartTime_Jobs,Total_Jobs,Businesses,Internal_FloorArea,PERIMETER,Shape__Area,Shape__Length,suburb,jobs_sqm
597,1060,55,128,183,17,93168.85315,618.483,0.00000154,0.006488763,Alexandria,0
598,555,156,81,237,17,22815.12166,364.682,0.000000769,0.003669305,"Darlinghurst and Surry Hill",0.01
599,1062,50,49,99,12,52669.67105,410.412,0.000000993,0.004044628,Alexandria,0
600,1063,8,22,30,4,32023.60599,451.808,0.00000125,0.004429666,Alexandria,0
601,556,606,164,770,4,18131.89205,422.274,0.000000769,0.004324326,"Darlinghurst and Surry Hill",0.04
602,661,23,9,32,14,20187.25149,381.244,0.000000795,0.003722145,"Redfern, Erskineville and Macdonaldtown",0
603,45,4129,799,4928,135,116208.4136,386.148,0.00000091,0.00388611,"Sydney CBD",0.04
604,557,14,2,16,4,3668.460732,274.308,0.000000377,0.002660703,"Darlinghurst and Surry Hill",0
605,566,63,33,96,13,4250.083104,241.356,0.000000266,0.002457618,"Darlinghurst and Surry Hill",0.02
606,637,8,2,10,2,22078.51573,438.044,0.00000106,0.004453207,"Redfern, Erskineville and Macdonaldtown",0
607,638,330,29,359,13,16455.31374,405.796,0.000000844,0.00416237,"Redfern, Erskineville and Macdonaldtown",0.02
608,526,83,59,142,19,12435.6035,410.902,0.00000103,0.004081299,"Darlinghurst and Surry Hill",0.01
609,1144,0,1,1,1,84.88885802,654.518,0.00000212,0.006284735,Alexandria,0.01
610,394,5,8,13,1,614.8352511,1532.524,0.0000129,0.015152691,"Moore Park",0.02
611,395,0,0,0,0,17267.37083,803.294,0.00000317,0.007871087,"Moore Park",0
612,396,0,0,0,0,10139.36848,507.742,0.00000154,0.005112168,"Moore Park",0
613,393,0,4,4,1,6070.444905,2043.05,0.0000226,0.020683779,"Moore Park",0
614,392,23,17,40,7,4941.639816,2799.239,0.0000425,0.027045917,"Moore Park",0.01
615,39,5629,382,6011,105,139777.1833,371.561,0.000000724,0.003523156,"Sydney CBD",0.04
616,136,168,250,418,34,33441.262,392.853,0.000000707,0.003723218,"Sydney CBD",0.01
617,133,85,26,111,2,12053.69648,394.185,0.000000258,0.002670244,"Sydney CBD",0.01
618,1208,14,1,15,3,32816.58869,332.633,0.00000049,0.003195185,Zetland,0
619,1209,17,2,19,5,34529.08676,355.692,0.000000661,0.003635919,Zetland,0
620,1374,123,252,375,43,126296.6978,1906.332911,0.00000209,0.00602921,"Sydney CBD",0
621,1121,325,101,426,8,42170.88421,662.917,0.00000217,0.006359468,Alexandria,0.01
622,1120,59,21,80,8,20687.18479,663.782,0.00000217,0.006358541,Alexandria,0
623,138,137,166,303,44,12845.20452,242.206,0.000000369,0.002372105,"Sydney CBD",0.02
624,567,315,52,367,41,27046.15276,368.518,0.000000779,0.003663787,"Darlinghurst and Surry Hill",0.01
625,576,4,7,11,3,7370.410854,218.316,0.000000251,0.002236447,"Darlinghurst and Surry Hill",0
626,639,205,57,262,20,18513.07459,403.434,0.000000843,0.004132386,"Redfern, Erskineville and Macdonaldtown",0.01
627,640,3,1,4,2,16919.15084,577.326,0.00000147,0.005467698,"Redfern, Erskineville and Macdonaldtown",0
628,1321,37,53,90,13,108273.9684,470.293,0.000000988,0.004652075,"Redfern, Erskineville and Macdonaldtown",0
629,1322,68,169,237,26,97457.71979,301.775,0.000000493,0.003076105,"Redfern, Erskineville and Macdonaldtown",0
630,1323,108,105,213,6,13757.56926,344.201,0.000000267,0.003193969,"Redfern, Erskineville and Macdonaldtown",0.02
631,1325,54,25,79,13,100874.47,595.344,0.000002,0.006046852,"Redfern, Erskineville and Macdonaldtown",0
632,1327,16,10,26,4,33474.2041,409.14,0.000000668,0.004100598,"Redfern, Erskineville and Macdonaldtown",0
633,577,173,84,257,4,13319.01382,321.394,0.000000629,0.003174549,"Darlinghurst and Surry Hill",0.02
634,641,40,8,48,8,22471.5174,579.948,0.00000145,0.005501461,"Redfern, Erskineville and Macdonaldtown",0
635,784,178,136,314,31,17957.24616,391.815,0.000000525,0.003740546,"Redfern, Erskineville and Macdonaldtown",0.02
636,785,159,32,191,5,13170.604,199.291,0.00000021,0.001963457,"Redfern, Erskineville and Macdonaldtown",0.01
637,1376,6,2,8,0,28961.71903,1906.332911,0.00000118,0.008634253,"Sydney CBD",0
638,554,58,18,76,7,6760.05542,275.677,0.00000046,0.002714598,"Darlinghurst and Surry Hill",0.01
639,140,1705,351,2056,77,127589.2723,513.645,0.00000112,0.00515825,"Sydney CBD",0.02
640,578,23,18,41,6,24324.09625,406.254,0.000000859,0.004149719,"Darlinghurst and Surry Hill",0
641,778,505,408,913,35,79202.936,2357.591,0.0000184,0.023193534,"Redfern, Erskineville and Macdonaldtown",0.01
642,642,102,15,117,9,15274.51446,405.582,0.000000839,0.004158621,"Redfern, Erskineville and Macdonaldtown",0.01
643,77,6238,2562,8800,331,263796.6858,596.866,0.00000196,0.005743859,"Sydney CBD",0.03
644,643,13,3,16,4,10232.89442,262.003,0.000000414,0.00263758,"Redfern, Erskineville and Macdonaldtown",0
645,509,116,42,158,27,8749.784231,386.59,0.00000071,0.003674491,"Darlinghurst and Surry Hill",0.02
646,156,1492,318,1810,22,70082.47021,324.781,0.000000577,0.003137229,"Sydney CBD",0.03
647,781,2469,29,2498,30,63856.76688,583.205,0.00000162,0.005674409,"Redfern, Erskineville and Macdonaldtown",0.04
648,510,69,48,117,15,19168.9815,494.548,0.00000142,0.004913782,"Darlinghurst and Surry Hill",0.01
649,158,1318,183,1501,4,34654.98228,253.07,0.000000269,0.002618439,"Sydney CBD",0.04
650,166,463,68,531,7,25336.09576,346.154,0.000000584,0.003085607,"Sydney CBD",0.02
651,168,310,202,512,2,47600.47143,880.235,0.00000239,0.00848564,"Sydney CBD",0.01
652,527,64,5,69,6,2879.305083,313.475,0.000000547,0.003028985,"Darlinghurst and Surry Hill",0.02
653,608,41,5,46,8,22885.14077,1348.023,0.00000811,0.013494897,"Redfern, Erskineville and Macdonaldtown",0
654,644,372,71,443,24,25191.93109,533.869,0.00000116,0.005030154,"Redfern, Erskineville and Macdonaldtown",0.02
655,645,48,7,55,6,31580.05124,492.253,0.000000951,0.004647859,"Redfern, Erskineville and Macdonaldtown",0
656,790,5,11,16,2,7422.124815,357.532,0.000000486,0.005056287,"Redfern, Erskineville and Macdonaldtown",0
657,179,1172,762,1934,12,70026.31624,667.901,0.00000272,0.006652126,"Sydney CBD",0.03
658,180,250,224,474,5,28497.39135,498.892,0.00000141,0.004881591,"Sydney CBD",0.02
659,528,165,47,212,23,11686.3116,480.183,0.000000886,0.004594698,"Darlinghurst and Surry Hill",0.02
660,147,1298,160,1458,22,39641.36355,334.756,0.00000061,0.003417136,"Sydney CBD",0.04
661,529,330,48,378,39,13326.36214,283.717,0.000000501,0.002815581,"Darlinghurst and Surry Hill",0.03
662,126,3743,2038,5781,227,386742.5442,552.111,0.00000188,0.005481631,"Sydney CBD",0.01
663,141,3,0,3,1,22502.43811,332.764,0.000000482,0.003136613,"Sydney CBD",0
664,157,15,0,15,1,678.3055104,645.886,0.00000244,0.006319608,"Sydney CBD",0.02
665,579,19,56,75,14,8088.783229,345.82,0.000000664,0.003522313,"Darlinghurst and Surry Hill",0.01
666,779,66,108,174,17,36370.43545,296.186,0.000000323,0.002862519,"Redfern, Erskineville and Macdonaldtown",0
667,1029,3,2,5,1,10544.37183,514.916,0.00000099,0.005321899,Alexandria,0
668,1034,21,0,21,2,13019.35706,539.142,0.00000124,0.005132276,Alexandria,0
669,165,1997,824,2821,16,139288.973,740.748,0.00000234,0.007134282,"Sydney CBD",0.02
670,163,1135,98,1233,22,67522.17399,304.25,0.000000546,0.00304641,"Sydney CBD",0.02
671,162,233,27,260,4,37407.92522,511.985,0.00000112,0.004899653,"Sydney CBD",0.01
672,1035,42,29,71,8,12021.9746,537.327,0.00000124,0.005109089,Alexandria,0.01
673,1036,3,8,11,2,11465.20737,538.314,0.00000122,0.00511625,Alexandria,0
674,596,167,51,218,28,26928.21581,689.942,0.00000283,0.006758312,"Darlinghurst and Surry Hill",0.01
675,597,0,0,0,0,1738.038242,534.394,0.00000137,0.005089505,"Darlinghurst and Surry Hill",0
676,1037,136,41,177,22,24476.62362,594.43,0.00000148,0.005695349,Alexandria,0.01
677,182,861,189,1050,10,79545.0682,384.909,0.000000901,0.00384293,"Sydney CBD",0.01
678,161,6124,523,6647,14,120727.3028,1906.332911,0.00000407,0.011975688,"Sydney CBD",0.06
679,1373,2735,247,2982,24,124026.273,456.9597,0.00000108,0.004454835,"Sydney CBD",0.02
680,1039,44,87,131,13,14548.31663,406.501,0.000000846,0.003917113,Alexandria,0.01
681,1040,24,30,54,2,18087.62118,497.839,0.00000153,0.004894607,Alexandria,0
682,137,513,284,797,108,35162.67872,323.61,0.000000563,0.00311429,"Sydney CBD",0.02
683,164,347,346,693,28,135353.8042,597.356,0.00000164,0.005785124,"Sydney CBD",0.01
684,797,84,4,88,4,16115.14216,348.507,0.000000618,0.00354022,"Redfern, Erskineville and Macdonaldtown",0.01
685,798,19,7,26,3,8238.442319,296.481,0.000000507,0.003004064,"Redfern, Erskineville and Macdonaldtown",0
686,1041,33,22,55,6,9390.017839,336.212,0.000000581,0.00328839,Alexandria,0.01
687,1042,0,0,0,0,8806.990058,446.806,0.00000122,0.004398305,Alexandria,0
688,181,2897,276,3173,9,156288.8874,669.855,0.0000027,0.006733878,"Sydney CBD",0.02
689,494,69,31,100,12,14382.00861,334.748,0.000000592,0.003193729,"Darlinghurst and Surry Hill",0.01
690,495,66,1,67,7,8983.832458,272.138,0.000000453,0.002681354,"Darlinghurst and Surry Hill",0.01
691,496,270,11,281,23,19039.85479,443.492,0.00000109,0.004512074,"Darlinghurst and Surry Hill",0.01
692,497,227,14,241,10,37116.33619,561.897,0.00000161,0.005787498,"Darlinghurst and Surry Hill",0.01
